,Unnamed: 0,Open,High,Low,Close,Volume,OpenInt,Daily_Return
count,1681282.0,1681282.0,1681282.0,1681282.0,1681282.0,1681282.0,1681282.0,1680495.0
mean,2124.480020603325,72.92577950551778,73.50496439613576,72.23675375411436,72.83096389284127,806697.8977726521,0.0,0.0007135584364564049
std,1695.6817532411856,2964.4792519032817,2976.4729216552455,2948.048336079783,2962.6032917272455,3270608.550378286,0.0,0.08017033923833594
min,0.0,0.0003,0.0042,-1.0,0.0042,0.0,0.0,-0.9869596385758443
25%,810.0,11.233,11.384,11.08,11.23,15270.0,0.0,-0.0062827896447994
50%,2143.0,24.42,24.56,24.261,24.4228,92794.0,0.0,0.0
75%,3055.0,41.49,41.85,41.1,41.493,473999.25,0.0,0.0069749373022797
max,14058.0,285350.0,285950.0,284335.0,284570.0,268809891.0,0.0,86.21949494949494
